Entry	Entry Name	Gene Names	Length	EC number	Gene Ontology IDs
P0AEJ6	EUTB_ECOLI	eutB b2441 JW2434	453	4.3.1.7	GO:0005829; GO:0006520; GO:0008851; GO:0009350; GO:0031419; GO:0031471; GO:0046336
P0AEK2	FABG_ECOLI	fabG b1093 JW1079	244	1.1.1.100	GO:0004316; GO:0005829; GO:0006633; GO:0008610; GO:0009102; GO:0016616; GO:0030497; GO:0042802; GO:0046872; GO:0050661; GO:0051287
P0AEK4	FABI_ECOLI	fabI envM b1288 JW1281	262	1.3.1.9	GO:0004318; GO:0005829; GO:0008610; GO:0009102; GO:0016020; GO:0016631; GO:0030497; GO:0032991; GO:0042802; GO:0046677; GO:0051289; GO:0070404; GO:1902494
P0AEK7	FDNI_ECOLI	fdnI b1476 JW1472	217		GO:0005886; GO:0006788; GO:0008863; GO:0009055; GO:0009061; GO:0009326; GO:0015944; GO:0016020; GO:0019645; GO:0020037; GO:0036397; GO:0046872
P0AEL0	FDOI_ECOLI	fdoI b3892 JW3863	211		GO:0005886; GO:0006788; GO:0006974; GO:0008863; GO:0009055; GO:0009061; GO:0009326; GO:0015944; GO:0016020; GO:0019645; GO:0036397; GO:0045333; GO:0046872
P0AEM0	FKBX_ECOLI	fkpB slpA yaaD b0028 JW0026	149	5.2.1.8	GO:0003755; GO:0005829; GO:0061077
P0AEM6	FLIA_ECOLI	fliA flaD rpoF b1922 JW1907	239		GO:0000345; GO:0003677; GO:0003899; GO:0005829; GO:0006352; GO:0006355; GO:0016987; GO:0044780; GO:0071973; GO:2000142
P0AEM9	TCYJ_ECOLI	tcyJ fliY yzzR b1920 JW1905	266		GO:0006791; GO:0015184; GO:0015276; GO:0015811; GO:0016597; GO:0030288; GO:0055052; GO:1903712
P0AEN1	FRE_ECOLI	fre fadI flrD fsrC ubiB b3844 JW3820	233	1.5.1.41	GO:0005829; GO:0006979; GO:0008047; GO:0030091; GO:0034755; GO:0042602; GO:0052875
P0AEN4	FTSL_ECOLI	ftsL mraR yabD b0083 JW0081	121		GO:0000917; GO:0005886; GO:0032153; GO:0043093; GO:0051301; GO:1990586; GO:1990587; GO:1990588
P0AEN8	FUCM_ECOLI	fucU b2804 JW2775	140	5.1.3.29; 5.4.99.62	GO:0005737; GO:0006004; GO:0016857; GO:0036065; GO:0036373; GO:0042354; GO:0042802; GO:0042806; GO:0062193
P0AEP3	GALU_ECOLI	galU ychD b1236 JW1224	302	2.7.7.9	GO:0000287; GO:0003983; GO:0005829; GO:0006011; GO:0009242; GO:0009244; GO:0032991; GO:0033499; GO:0042802; GO:1900727
P0AEP7	GCL_ECOLI	gcl b0507 JW0495	593	4.1.1.47	GO:0000287; GO:0005948; GO:0009028; GO:0009097; GO:0009099; GO:0009436; GO:0030976; GO:0042802; GO:0046296; GO:0050660; GO:0071949
P0AEP9	GLCD_ECOLI	glcD gox yghM b2979 JW2946	499	1.1.99.14	GO:0003973; GO:0005886; GO:0006974; GO:0009339; GO:0019154; GO:0046296; GO:0047809; GO:0071949
P0AER0	GLPF_ECOLI	glpF b3927 JW3898	281		GO:0005886; GO:0015168; GO:0015254; GO:0015793; GO:0071288
P0AES0	GSP_ECOLI	gss gsp b2988 JW2956	619	3.5.1.78; 6.3.1.8	GO:0005524; GO:0005829; GO:0006749; GO:0008216; GO:0008884; GO:0008885; GO:0046872
P0AES2	GUDD_ECOLI	gudD ygcX b2787 JW2758	446	4.2.1.40	GO:0000287; GO:0008872; GO:0042838
P0AES4	GYRA_ECOLI	gyrA hisW nalA parD b2231 JW2225	875	5.6.2.2	GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0005737; GO:0005829; GO:0006261; GO:0006265; GO:0006351; GO:0008094; GO:0009330; GO:0009410; GO:0016020; GO:0034335; GO:0042802; GO:0046677; GO:2000104
P0AES6	GYRB_ECOLI	gyrB acrB cou himB hisU nalC parA pcbA b3699 JW5625	804	5.6.2.2	GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0005737; GO:0005829; GO:0006261; GO:0006265; GO:0006351; GO:0008094; GO:0009330; GO:0009410; GO:0034335; GO:0046677; GO:0046872
P0AES9	HDEA_ECOLI	hdeA yhhC yhiB b3510 JW3478	110		GO:0030288; GO:0042802; GO:0042803; GO:0044183; GO:0051082; GO:0061077; GO:1990451
P0AET2	HDEB_ECOLI	hdeB yhhD yhiC b3509 JW5669	108		GO:0010447; GO:0030288; GO:0051082; GO:1990451
P0AET8	HDHA_ECOLI	hdhA hsdH b1619 JW1611	255	1.1.1.159	GO:0005829; GO:0008709; GO:0016042; GO:0030573; GO:0032991; GO:0042802; GO:0051287; GO:0106281
P0AEU7	SKP_ECOLI	skp hlpA ompH b0178 JW0173	161		GO:0001530; GO:0005829; GO:0006457; GO:0022417; GO:0030288; GO:0032978; GO:0042802; GO:0043165; GO:0050821; GO:0051082; GO:0061077
P0AEV1	RSSB_ECOLI	rssB hnr sprE ychL b1235 JW1223	337		GO:0000156; GO:0000976; GO:0005829; GO:0006355; GO:0016989; GO:0031648; GO:0032993; GO:0045862; GO:0045892; GO:1903865
P0AEV9	HYCI_ECOLI	hycI b2717 JW2687	156	3.4.23.51	GO:0004175; GO:0004190; GO:0008047; GO:0016485; GO:0046872
P0AEW6	INGK_ECOLI	gsk b0477 JW0466	434	2.7.1.73	GO:0005524; GO:0006166; GO:0008906; GO:0016310; GO:0032263; GO:0032264; GO:0097216; GO:0106366
P0AEW9	K1PF_ECOLI	fruK fpk b2168 JW2155	312	2.7.1.56	GO:0005524; GO:0005829; GO:0006001; GO:0008443; GO:0008662
P0AEX7	LIVH_ECOLI	livH b3457 JW3422	308		GO:0005304; GO:0005886; GO:0015188; GO:0015190; GO:0015192; GO:0015658; GO:0015803; GO:0015808; GO:0015823; GO:0016020; GO:0042941; GO:0055052; GO:0098713; GO:1903714; GO:1903785; GO:1903806
P0AEX9	MALE_ECOLI	malE b4034 JW3994	396		GO:0006974; GO:0008643; GO:0015144; GO:0015768; GO:0016020; GO:0030288; GO:0034289; GO:0042597; GO:0042956; GO:0043190; GO:0055052; GO:0060326; GO:1901982; GO:1990060
P0AEY3	MAZG_ECOLI	mazG b2781 JW2752	263	3.6.1.8	GO:0005524; GO:0006203; GO:0009267; GO:0046047; GO:0046052; GO:0046061; GO:0046076; GO:0046081; GO:0046872; GO:0047429; GO:0047693
P0AEY5	MDAB_ECOLI	mdaB mda66 b3028 JW2996	193	1.6.5.10	GO:0005829; GO:0008753; GO:0050660
P0AEY8	MDFA_ECOLI	mdfA cmlA cmr b0842 JW0826	410		GO:0005886; GO:0015385; GO:0015386; GO:0030641; GO:0046677; GO:1990961
P0AEZ1	METF_ECOLI	metF b3941 JW3913	296	1.5.1.54	GO:0004489; GO:0005829; GO:0009086; GO:0032991; GO:0035999; GO:0051087; GO:0071949; GO:0106312
P0AEZ3	MIND_ECOLI	minD b1175 JW1164	270		GO:0000917; GO:0005524; GO:0005829; GO:0005886; GO:0007059; GO:0009898; GO:0016887; GO:0042802; GO:0051301; GO:0051782; GO:0060187
P0AF06	MOTB_ECOLI	motB b1889 JW1878	308		GO:0005886; GO:0006935; GO:0009288; GO:0015252; GO:0071973; GO:0120101; GO:1902600
P0AF12	MTNN_ECOLI	mtnN mtn pfs yadA b0159 JW0155	232	3.2.2.9	GO:0005829; GO:0008782; GO:0008930; GO:0019284; GO:0019509; GO:0042802; GO:0042803; GO:0046124; GO:0110052
P0AF16	MURJ_ECOLI	murJ mviN yceN b1069 JW1056	511		GO:0000935; GO:0005886; GO:0008360; GO:0009252; GO:0015648; GO:0015836; GO:0034203; GO:0034204; GO:0071555; GO:1901612
P0AF18	NAGA_ECOLI	nagA b0677 JW0663	382	3.5.1.25	GO:0005975; GO:0006046; GO:0008270; GO:0008448; GO:0019262; GO:0032991; GO:0042802; GO:0047419; GO:0051289
P0AF24	NAGD_ECOLI	nagD b0675 JW0661	250	3.1.3.5	GO:0000287; GO:0005829; GO:0005975; GO:0008253; GO:0016791; GO:0046050; GO:0106411
P0AF28	NARL_ECOLI	narL frdR b1221 JW1212	216		GO:0000160; GO:0000976; GO:0001217; GO:0003677; GO:0005524; GO:0005829; GO:0006355; GO:0032993; GO:0042128; GO:0042802
P0AF32	NARV_ECOLI	narV b1465 JW1460	226	1.7.5.1	GO:0005886; GO:0008940; GO:0009055; GO:0009061; GO:0009325; GO:0016020; GO:0019645; GO:0020037; GO:0042126; GO:0042128; GO:0046872
P0AF36	ZAPB_ECOLI	zapB yiiU b3928 JW3899	81		GO:0000917; GO:0005829; GO:0032153; GO:0042802; GO:0043093
P0AF52	GHXP_ECOLI	ghxP yjcD b4064 JW4025	449		GO:0005886; GO:0015208; GO:0035344; GO:0098710
P0AF61	GHOS_ECOLI	ghoS arT yjdK b4128 JW4089	98	3.1.-.-	GO:0004521
P0AF67	TSAE_ECOLI	tsaE yjeE b4168 JW4126	153		GO:0000408; GO:0002949; GO:0004672; GO:0005524; GO:0005737; GO:0016887; GO:0042802; GO:0043531; GO:0046872; GO:1990145
P0AF90	RRAB_ECOLI	rraB yjgD b4255 JW4212	138		GO:0005829; GO:0006402; GO:0008428; GO:0019899; GO:0042803; GO:0060698; GO:0060699
P0AF93	RIDA_ECOLI	ridA yjgF b4243 JW5755	128	3.5.99.10	GO:0005829; GO:0009097; GO:0009636; GO:0016020; GO:0019239; GO:0032991; GO:0042802; GO:0051082; GO:0070207; GO:0120242; GO:0120243; GO:1901565
P0AFA2	NARX_ECOLI	narX narR b1222 JW1213	598	2.7.13.3	GO:0000155; GO:0004721; GO:0005524; GO:0005886; GO:0006974; GO:0007165; GO:0030288; GO:0042128; GO:0042803; GO:0071249; GO:0071250
P0AFA7	NHAB_ECOLI	nhaB b1186 JW1175	513		GO:0005886; GO:0010226; GO:0015385
P0AFB1	NLPI_ECOLI	nlpI yhbM b3163 JW3132	294		GO:0000270; GO:0005886; GO:0007049; GO:0030674; GO:0042803; GO:0051301
P0AFB5	NTRB_ECOLI	glnL glnR ntrB b3869 JW3840	349	2.7.13.3; 3.1.3.-	GO:0000155; GO:0004673; GO:0004721; GO:0005524; GO:0005737; GO:0006355; GO:0009399; GO:0016774; GO:0023019; GO:0042802; GO:0042803; GO:0051171
P0AFB8	NTRC_ECOLI	glnG glnT ntrC b3868 JW3839	469		GO:0000156; GO:0005524; GO:0005829; GO:0006355; GO:0006808; GO:0009399; GO:0016887; GO:0043565
P0AFC0	NUDB_ECOLI	nudB ntpA b1865 JW1854	150	3.6.1.67	GO:0000287; GO:0008828; GO:0019177; GO:0046654; GO:0046656; GO:0046872
P0AFC3	NUOA_ECOLI	nuoA b2288 JW2283	147	7.1.1.-	GO:0005886; GO:0008137; GO:0016020; GO:0022904; GO:0030964; GO:0045271; GO:0045272; GO:0048038
P0AFC7	NUOB_ECOLI	nuoB b2287 JW5875	220	7.1.1.-	GO:0005506; GO:0005886; GO:0008137; GO:0009060; GO:0015990; GO:0016020; GO:0022904; GO:0030964; GO:0045271; GO:0045272; GO:0048038; GO:0051539
P0AFD1	NUOE_ECOLI	nuoE b2285 JW2280	166	7.1.1.-	GO:0005886; GO:0016020; GO:0016491; GO:0022904; GO:0030964; GO:0045271; GO:0045272; GO:0046872; GO:0048038; GO:0051537
P0AFD4	NUOH_ECOLI	nuoH b2282 JW2277	325	7.1.1.-	GO:0005886; GO:0009060; GO:0016020; GO:0016655; GO:0022904; GO:0030964; GO:0045271; GO:0045272; GO:0048038
P0AFD6	NUOI_ECOLI	nuoI b2281 JW2276	180	7.1.1.-	GO:0005506; GO:0005886; GO:0009060; GO:0016020; GO:0022904; GO:0030964; GO:0045271; GO:0045272; GO:0048038; GO:0050136; GO:0051539
P0AFE0	NUOJ_ECOLI	nuoJ b2280 JW2275	184	7.1.1.-	GO:0005886; GO:0008137; GO:0016020; GO:0022904; GO:0030964; GO:0045271; GO:0045272; GO:0048038
P0AFE4	NUOK_ECOLI	nuoK b2279 JW2274	100	7.1.1.-	GO:0005886; GO:0008137; GO:0016020; GO:0022904; GO:0030964; GO:0042773; GO:0045271; GO:0045272; GO:0048038
P0AFE8	NUOM_ECOLI	nuoM b2277 JW2272	509	7.1.1.-	GO:0005886; GO:0008137; GO:0009060; GO:0015990; GO:0016020; GO:0022904; GO:0030964; GO:0042773; GO:0045271; GO:0045272; GO:0048039
P0AFF0	NUON_ECOLI	nuoN b2276 JW2271	485	7.1.1.-	GO:0005886; GO:0008137; GO:0009060; GO:0015990; GO:0016020; GO:0022904; GO:0030964; GO:0042773; GO:0045271; GO:0045272; GO:0048038
P0AFF2	NUPC_ECOLI	nupC cru b2393 JW2389	400		GO:0005886; GO:0015212; GO:0015213; GO:0015506; GO:1901642
P0AFF4	NUPG_ECOLI	nupG b2964 JW2932	418		GO:0005886; GO:0015212; GO:0015213; GO:0015214; GO:0015506; GO:0015860; GO:0015862; GO:0015864; GO:0032238; GO:0071702; GO:1901642
P0AFF6	NUSA_ECOLI	nusA b3169 JW3138	495		GO:0000166; GO:0001000; GO:0003700; GO:0003723; GO:0005829; GO:0006353; GO:0008023; GO:0019904; GO:0031564; GO:0032784; GO:0042254; GO:0051259
P0AFG3	ODO1_ECOLI	sucA b0726 JW0715	933	1.2.4.2	GO:0000166; GO:0000287; GO:0004591; GO:0005737; GO:0005829; GO:0006099; GO:0030976; GO:0042802; GO:0045252
P0AFG6	ODO2_ECOLI	sucB b0727 JW0716	405	2.3.1.61	GO:0004149; GO:0005737; GO:0005829; GO:0006099; GO:0031405; GO:0033512; GO:0045252
P0AFG8	ODP1_ECOLI	aceE b0114 JW0110	887	1.2.4.1	GO:0000287; GO:0004738; GO:0004739; GO:0005829; GO:0006096; GO:0016020; GO:0030976; GO:0036094; GO:0042802; GO:0042803; GO:0042867; GO:0045250; GO:0045254; GO:0060090
P0AFI0	OXC_ECOLI	oxc yfdU b2373 JW2370	564	4.1.1.8	GO:0000287; GO:0001561; GO:0008949; GO:0030976; GO:0033611; GO:0042802; GO:0043531; GO:0071468
P0AFI2	PARC_ECOLI	parC b3019 JW2987	752	5.6.2.2	GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0005737; GO:0005829; GO:0006265; GO:0007059; GO:0007062; GO:0009330; GO:0019897; GO:0030541
P0AFI5	PBP7_ECOLI	pbpG yohB b2134 JW5355	310	3.4.21.-	GO:0000270; GO:0004175; GO:0006508; GO:0008360; GO:0009002; GO:0009252; GO:0009410; GO:0042597; GO:0043093; GO:0071555
P0AFI7	PDXH_ECOLI	pdxH b1638 JW1630	218	1.4.3.5	GO:0004733; GO:0005829; GO:0008615; GO:0010181; GO:0016491; GO:0030170; GO:0032991; GO:0036001; GO:0042301; GO:0042803; GO:0042823; GO:1902444
P0AFJ7	PITA_ECOLI	pitA pit b3493 JW3460	499		GO:0005315; GO:0005385; GO:0005886; GO:0010960; GO:0015295; GO:0015654; GO:0015710; GO:0035435
P0AFL3	PPIA_ECOLI	ppiA rot rotA b3363 JW3326	190	5.2.1.8	GO:0003755; GO:0006457; GO:0030288; GO:0042597
P0AFL6	PPX_ECOLI	ppx b2502 JW2487	513	3.6.1.11	GO:0004309; GO:0005886; GO:0006798; GO:0042802; GO:0042803; GO:0097216
P0AFM2	PROX_ECOLI	proX proU b2679 JW2654	330		GO:0006972; GO:0016020; GO:0022857; GO:0030288; GO:0031460; GO:0050997; GO:0071470; GO:0089718; GO:1903804; GO:1990222
P0AFM6	PSPA_ECOLI	pspA b1304 JW1297	222		GO:0005543; GO:0005667; GO:0005829; GO:0005886; GO:0006355; GO:0009271; GO:0009408; GO:0042802; GO:0060187; GO:0080135
P0AFP6	GCH1L_ECOLI	ybgI b0710 JW0700	247		GO:0005737; GO:0005829; GO:0006281; GO:0010212; GO:0034214; GO:0042802; GO:0046872; GO:0060187
P0AFQ5	RUTC_ECOLI	rutC ycdK b1010 JW0995	128	3.5.-.-	GO:0005829; GO:0006208; GO:0006212; GO:0019239; GO:0019740; GO:0042802; GO:1901565
P0AFR2	DAUA_ECOLI	dauA ychM b1206 JW5189	559		GO:0005886; GO:0008271; GO:0015138; GO:0015141; GO:0015183; GO:0015741; GO:0015810; GO:0071422
P0AFS3	FOLM_ECOLI	folM ydgB b1606 JW1598	240	1.5.1.3; 1.5.1.50	GO:0004146; GO:0006730; GO:0042559; GO:0042802; GO:0051289; GO:0071172
P0AFS9	MEPM_ECOLI	mepM yebA b1856 JW5304	440	3.4.24.-	GO:0000270; GO:0000920; GO:0004175; GO:0004222; GO:0005886; GO:0006508; GO:0009254; GO:0045227; GO:0046872; GO:0071555
P0AFT2	TCYL_ECOLI	tcyL yecS b1918 JW1903	222		GO:0005886; GO:0006791; GO:0015184; GO:0015811; GO:0055052; GO:1903712
P0AFU4	GLRR_ECOLI	glrR yfhA b2554 JW2538	444		GO:0000156; GO:0000160; GO:0000987; GO:0003700; GO:0005524; GO:0005737; GO:0006351; GO:0016887; GO:0045893
P0AFV4	MEPS_ECOLI	mepS spr yeiV b2175 JW2163	188	3.4.-.-; 3.4.17.13	GO:0000270; GO:0004175; GO:0006508; GO:0008234; GO:0009254; GO:0009279; GO:0045227; GO:0071555; GO:0106415
P0AFW0	RFAH_ECOLI	rfaH hlyT sfrB b3842 JW3818	162		GO:0001000; GO:0001073; GO:0003677; GO:0005829; GO:0006354; GO:0008494; GO:0031564; GO:0045727; GO:0061980; GO:0140673
P0AFX0	HPF_ECOLI	hpf yhbH b3203 JW3170	95		GO:0005829; GO:0017148; GO:0022611; GO:0022627; GO:0043022; GO:0043024; GO:0044238; GO:0045900
P0AFX7	RSEA_ECOLI	rseA mclA yfiJ b2572 JW2556	216		GO:0005886; GO:0016989; GO:0045892; GO:0060090; GO:1903865
P0AFX9	RSEB_ECOLI	rseB b2571 JW2555	318		GO:0005886; GO:0008289; GO:0030288; GO:0032885; GO:0042802; GO:0045152; GO:0045892; GO:0050821; GO:1903865
P0AFY6	SBMA_ECOLI	sbmA b0377 JW0368	406		GO:0005524; GO:0005886; GO:0015031; GO:0015291; GO:0015638; GO:0015833; GO:0019534; GO:0042803; GO:0042884; GO:0042885; GO:0046677; GO:1901998; GO:1904680
P0AFY8	SEQA_ECOLI	seqA b0687 JW0674	181		GO:0003688; GO:0005829; GO:0006355; GO:0007062; GO:0009314; GO:0010385; GO:0032297; GO:0032991; GO:0042802; GO:0042803; GO:0044729; GO:0090143; GO:1990097
P0AFZ3	SSPB_ECOLI	sspB b3228 JW3197	165		GO:0003723; GO:0005829; GO:0005840; GO:0009376; GO:0032781; GO:0042803; GO:0045732; GO:0051117; GO:0060090; GO:1903052
P0AFZ5	SULA_ECOLI	sulA sfiA b0958 JW0941	169		GO:0000917; GO:0006974; GO:0009432; GO:0032272; GO:0032466; GO:0051782; GO:2000245
P0AG07	RPE_ECOLI	rpe dod yhfD b3386 JW3349	225	5.1.3.1	GO:0004750; GO:0005829; GO:0008198; GO:0009052; GO:0019323; GO:0046872
P0AG11	UMUD_ECOLI	umuD b1183 JW1172	139	3.4.21.-	GO:0003676; GO:0003697; GO:0003887; GO:0006281; GO:0006355; GO:0006508; GO:0006974; GO:0008094; GO:0008236; GO:0009355; GO:0009432; GO:0019985; GO:0042802
P0AG16	PUR1_ECOLI	purF b2312 JW2309	505	2.4.2.14	GO:0000287; GO:0004044; GO:0005737; GO:0005829; GO:0006164; GO:0006189; GO:0006541; GO:0009113; GO:0016757; GO:0042802; GO:0097216
P0AG18	PURE_ECOLI	purE b0523 JW0512	169	5.4.99.18	GO:0005829; GO:0006189; GO:0034023; GO:0042802
P0AG20	RELA_ECOLI	relA b2784 JW2755	744	2.7.6.5	GO:0005524; GO:0005525; GO:0008728; GO:0008893; GO:0015949; GO:0015969; GO:0015970; GO:0016301; GO:0016310; GO:0042594
P0AG24	SPOT_ECOLI	spoT b3650 JW3625	702	2.7.6.5; 3.1.7.2	GO:0005829; GO:0008728; GO:0008893; GO:0015949; GO:0015969; GO:0015970; GO:0016301; GO:0016310; GO:0042594
P0AG30	RHO_ECOLI	rho nitA psuA rnsC sbaA tsu b3783 JW3756	419	3.6.4.-	GO:0003723; GO:0004386; GO:0005524; GO:0005829; GO:0006353; GO:0008186; GO:0016020; GO:0016887; GO:0042802
P0AG55	RL6_ECOLI	rplF b3305 JW3267	177		GO:0000027; GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0022625; GO:0046677; GO:0070180
P0AG59	RS14_ECOLI	rpsN b3307 JW3269	101		GO:0000028; GO:0000049; GO:0002181; GO:0003735; GO:0005737; GO:0006412; GO:0015935; GO:0019843; GO:0022627
P0AG63	RS17_ECOLI	rpsQ neaA b3311 JW3273	84		GO:0000028; GO:0002181; GO:0003735; GO:0005737; GO:0008270; GO:0019843; GO:0022627; GO:0046677; GO:0060090; GO:0070181
P0AG67	RS1_ECOLI	rpsA ssyF b0911 JW0894	557		GO:0000028; GO:0002181; GO:0003723; GO:0003727; GO:0003729; GO:0003735; GO:0005737; GO:0006412; GO:0010501; GO:0016020; GO:0022627; GO:2000766; GO:2000767
P0AG74	RUSA_ECOLI	rusA rus ybcP b0550 JW0538	120	3.1.21.10	GO:0000287; GO:0000400; GO:0006281; GO:0006310; GO:0008821; GO:0042803
P0AG80	UGPB_ECOLI	ugpB b3453 JW3418	438		GO:0001407; GO:0015794; GO:0016020; GO:0030288; GO:1902517
P0AG86	SECB_ECOLI	secB b3609 JW3584	155		GO:0005829; GO:0006457; GO:0006605; GO:0008104; GO:0015031; GO:0036506; GO:0043952; GO:0051082; GO:0051179; GO:0051262; GO:0070678
P0AG90	SECD_ECOLI	secD b0408 JW0398	615		GO:0005886; GO:0006605; GO:0015031; GO:0015450; GO:0016020; GO:0031522; GO:0032978; GO:0043952; GO:0065002
P0AG93	SECF_ECOLI	secF b0409 JW0399	323		GO:0005886; GO:0006605; GO:0015031; GO:0015450; GO:0016020; GO:0031522; GO:0032978; GO:0043952; GO:0065002
P0AG96	SECE_ECOLI	secE prlG b3981 JW3944	127		GO:0005886; GO:0006616; GO:0006886; GO:0008320; GO:0009306; GO:0016020; GO:0031522; GO:0032978; GO:0043952; GO:0065002
P0AG99	SECG_ECOLI	secG b3175 JW3142	110		GO:0005886; GO:0006616; GO:0006886; GO:0008320; GO:0009306; GO:0015450; GO:0016020; GO:0031522; GO:0032978; GO:0043952; GO:0065002
P0AGA2	SECY_ECOLI	secY prlA b3300 JW3262	443		GO:0005048; GO:0005886; GO:0006616; GO:0006886; GO:0008320; GO:0016020; GO:0031522; GO:0032978; GO:0043952; GO:0065002
P0AGB0	SERB_ECOLI	serB b4388 JW4351	322	3.1.3.3	GO:0000287; GO:0005737; GO:0006564; GO:0008652; GO:0016311; GO:0016791; GO:0036424
P0AGB3	RPOH_ECOLI	rpoH fam hin htpR b3461 JW3426	284		GO:0000345; GO:0001000; GO:0001046; GO:0001216; GO:0003677; GO:0005829; GO:0005886; GO:0006310; GO:0006351; GO:0006352; GO:0006355; GO:0009009; GO:0009408; GO:0010468; GO:0016987; GO:0031421; GO:2000142
P0AGB6	RPOE_ECOLI	rpoE sigE b2573 JW2557	191		GO:0000345; GO:0003677; GO:0005737; GO:0005886; GO:0006352; GO:0006355; GO:0006970; GO:0009266; GO:0016987; GO:0036460; GO:0045892; GO:0090605; GO:1903865; GO:2000142
P0AGC0	UHPT_ECOLI	uhpT b3666 JW3641	463		GO:0005886; GO:0008643; GO:0015526; GO:0015712; GO:0015760; GO:0035435; GO:0061513
P0AGC3	SLT_ECOLI	slt sltY b4392 JW4355	645	4.2.2.n1	GO:0004553; GO:0008932; GO:0008933; GO:0009253; GO:0009274; GO:0016020; GO:0030288; GO:0071555
P0AGD1	SODC_ECOLI	sodC b1646 JW1638	173	1.15.1.1	GO:0004784; GO:0005507; GO:0006801; GO:0008270; GO:0019430; GO:0030288; GO:0042597
P0AGD3	SODF_ECOLI	sodB b1656 JW1648	193	1.15.1.1	GO:0000303; GO:0004784; GO:0005506; GO:0005737; GO:0005829; GO:0006801; GO:0016020; GO:0016491; GO:0019430
P0AGD7	SRP54_ECOLI	ffh b2610 JW5414	453	3.6.5.4	GO:0003924; GO:0005525; GO:0005829; GO:0006612; GO:0006614; GO:0008312; GO:0016887; GO:0048500; GO:1990904
P0AGE0	SSB_ECOLI	ssb exrB lexC b4059 JW4020	178		GO:0000725; GO:0003697; GO:0005829; GO:0006261; GO:0006298; GO:0008047; GO:0009295; GO:0009432; GO:0030894; GO:0042802; GO:0043085; GO:0044777
P0AGE4	SSTT_ECOLI	sstT ygjU b3089 JW3060	414		GO:0005295; GO:0005886; GO:0006865; GO:0015175; GO:0015826; GO:0032329
P0AGE6	CHRR_ECOLI	chrR yieF b3713 JW3691	188	1.6.-.-; 1.6.5.2	GO:0005829; GO:0006805; GO:0008753; GO:0010181; GO:0016491; GO:0034567; GO:0042802; GO:0050136; GO:0051289
P0AGE9	SUCD_ECOLI	sucD b0729 JW0718	289	6.2.1.5	GO:0000166; GO:0004775; GO:0004776; GO:0005737; GO:0005829; GO:0006099; GO:0009361
P0AGF2	CSDE_ECOLI	csdE ygdK b2811 JW2782	147		GO:0061504; GO:0097163
P0AGF4	XYLE_ECOLI	xylE b4031 JW3991	491		GO:0005886; GO:0015519; GO:0015753; GO:0016020; GO:0022857; GO:0055085
P0AGF6	TDCB_ECOLI	tdcB b3117 JW3088	329	4.3.1.17; 4.3.1.19	GO:0000166; GO:0003941; GO:0004793; GO:0004794; GO:0005829; GO:0006565; GO:0006567; GO:0009097; GO:0016597; GO:0030170; GO:0032991; GO:0070689
P0AGG0	THIL_ECOLI	thiL b0417 JW0407	325	2.7.4.16	GO:0000287; GO:0005524; GO:0009030; GO:0009228; GO:0009229; GO:0016310; GO:0046872
P0AGG2	TESB_ECOLI	tesB b0452 JW0442	286	3.1.2.20	GO:0005829; GO:0006637; GO:0009062; GO:0016290; GO:0042802; GO:0042803; GO:0047617; GO:0102991
P0AGI1	RBSC_ECOLI	rbsC b3750 JW3729	321		GO:0005886; GO:0015591; GO:0015752; GO:0016020; GO:0043190; GO:0055052
P0AGJ7	TRML_ECOLI	trmL yibK b3606 JW3581	157	2.1.1.207	GO:0002131; GO:0002132; GO:0003723; GO:0005737; GO:0042803; GO:0052665; GO:0052666
P0AGJ9	SYY_ECOLI	tyrS b1637 JW1629	424	6.1.1.1	GO:0003723; GO:0004831; GO:0005524; GO:0005829; GO:0006437; GO:0016020; GO:0042803; GO:0043039
P0AGK1	UBIA_ECOLI	ubiA cyr b4040 JW4000	290	2.5.1.39	GO:0002083; GO:0005886; GO:0006744; GO:0008412; GO:0016765; GO:0047293
P0AGM7	URAA_ECOLI	uraA b2497 JW2482	429		GO:0005886; GO:0015210; GO:0015505; GO:0015857; GO:0016020; GO:0042803; GO:0098721
P0C018	RL18_ECOLI	rplR b3304 JW3266	117		GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0008097; GO:0022625
P0C037	PPNP_ECOLI	ppnP yaiE b0391 JW0382	94	2.4.2.1; 2.4.2.2	GO:0004731; GO:0004850; GO:0005829; GO:0009032; GO:0016154; GO:0042803; GO:0047975
P0C054	IBPA_ECOLI	ibpA hslT htpN b3687 JW3664	137		GO:0005829; GO:0009408; GO:0017148; GO:0042802; GO:0042803; GO:0048027; GO:0050821
P0C058	IBPB_ECOLI	ibpB hslS htpE b3686 JW3663	142		GO:0005737; GO:0009408; GO:0042802; GO:0050821; GO:1990169
P0C077	RELE_ECOLI	relE b1563 JW1555	95	3.1.-.-	GO:0000976; GO:0001217; GO:0004521; GO:0006355; GO:0006402; GO:0017148; GO:0019843; GO:0032993; GO:0034198; GO:0040008; GO:0043022; GO:0044010; GO:0046677; GO:0097351; GO:0110001
